city,state,country,faith,hiphop,latin,pop,rock
Albuquerque,NM,0.2008673299029728,0.013525651380109012,0.392376161127939,0.023307560989251335,0.28510979970347566,0.08481349689625228
Anaheim,CA,0.16377145613426683,0.019609636714189492,0.4133609058959404,0.01129988157000205,0.3521200485691572,0.039838071116443934
Asbury Park,NJ,0.09780653604011745,0.0,0.3006044998285237,0.0,0.2717710488480693,0.3298179152832896
Athens,GA,0.08170577055930914,0.0,0.48395664148469186,0.0,0.3010085966881461,0.1333289912678529
Baltimore,MD,0.1312812203160547,0.20664871706284418,0.34243827472060173,0.12923392541719347,0.1173131478424407,0.0730847146408651
Birmingham,AL,0.10930269434320382,0.2093400323068566,0.29414594615658995,0.0,0.2512552934345681,0.13595603375878149
Boise,ID,0.2880548708524253,0.09604337670877514,0.1906401029303605,0.0,0.23443263819864268,0.1908290113097965
Buffalo,NY,0.09458496664163732,0.1568356454483297,0.3395863365841976,0.0,0.3746556824063403,0.03433736891949503
Cambridge,MA,0.06450282048139848,0.0,0.21143585610863816,0.0,0.4569845971057309,0.2670767263042324
Charleston,SC,0.20420224592446198,0.0,0.28101130336625296,0.0,0.27792301237686734,0.2368634383324177
Charlotte,NC,0.11718755922369277,0.07089839476858655,0.28940136244104314,0.20302201059631336,0.236336956694187,0.08315371627617707
Cincinnati,OH,0.11221036563128625,0.062000359859055505,0.44672838084252353,0.022685852769934862,0.25487086339951814,0.10150417749768173
Cleveland,OH,0.050106159986235764,0.1663628628239103,0.2916451817526119,0.1602262247572324,0.237001876443155,0.09465769423685455
Columbia,SC,0.06293396244043523,0.12501595279065497,0.18107786324445585,0.0,0.3484255015790507,0.28254671994540326
Columbus,OH,0.08559692419768394,0.0954723970191983,0.23079699799224293,0.34187163281171185,0.18987481439238443,0.05638723358677852
Des Moines,IA,0.19296431818211215,0.3231477031517907,0.17480332543785454,0.0,0.2157792259028462,0.09330542732539644
Grand Rapids,MI,0.11394452686480917,0.11514786649016523,0.20102132795427677,0.18890406259355078,0.25819987026944746,0.12278234582775067
Greensboro,NC,0.08337467033057878,0.15230073996559543,0.3379325340778464,0.0,0.33566757449096357,0.09072448113501586
Greenville,SC,0.28027080017088374,0.32295010441119515,0.16984401777725114,0.0,0.0,0.22693507764067
Indianapolis,IN,0.12538569613576905,0.12925115971569118,0.34061510072886286,0.0290172897120275,0.27736872197225576,0.09836203173539357
Jacksonville,FL,0.22743742906069314,0.09517399496715143,0.44729971128587276,0.0,0.0765584236404749,0.15353044104580785
Kansas City,MO,0.10498004561572576,0.16926954137838301,0.15055729542107457,0.0,0.4479025720327006,0.12729054555211605
Knoxville,TN,0.1491896036716692,0.15898273452972841,0.49879506714226113,0.0,0.0,0.1930325946563412
Louisville,KY,0.13357172563637668,0.2165915500506116,0.3085317781356021,0.032539983084277246,0.22422798930452847,0.08453697378860395
Madison,WI,0.18261443153638962,0.0,0.12909205927307013,0.0,0.39879216786553195,0.28950134132500827
Memphis,TN,0.09067457690728395,0.20178148601007537,0.21638598078678412,0.03422828902523792,0.41002731599067854,0.046902351279940004
Mesa,AZ,0.339186616206716,0.0,0.25003149283977394,0.0,0.28003363272293497,0.13074825823057507
Milwaukee,WI,0.08857299143270563,0.14594182721932916,0.20941480393672238,0.003410770174645688,0.4864534168063799,0.06620619043021729
Morrison,CO,0.17929380762236985,0.0,0.35096801504195335,0.0,0.3735343894605102,0.09620378787516665
New Orleans,LA,0.08180695810419875,0.1349312101649874,0.20717680665783425,0.0,0.45850954131881017,0.11757548375416936
Norfolk,VA,0.18558290834863148,0.1632057504552809,0.20124377096189378,0.0,0.23167164517579333,0.21829592505840043
Oakland,CA,0.4516440856266385,0.0,0.28439121933002665,0.11775276381208026,0.11141260087753801,0.03479933035371666
Oklahoma City,OK,0.21639225570330084,0.10184600845810772,0.24875245358108722,0.0,0.3368127838071101,0.0961964984503941
Omaha,NE,0.19595159121754116,0.21916272689164898,0.201504153728984,0.03340464692322883,0.2682501323655713,0.08172674887302561
Orlando,FL,0.12120786323071912,0.08243291440085256,0.18122748371906922,0.13342158185262443,0.3834069388543869,0.09830321794234778
Phoenix,AZ,0.1979763355027797,0.017896121027010048,0.32182822046568077,0.23018812357249233,0.1548218801331444,0.07728931929889268
Pittsburgh,PA,0.09906950675461784,0.11104506469968131,0.280225795436156,0.16277342680266269,0.3012324942862241,0.04565371202065805
Raleigh,NC,0.22236882028961638,0.1028294382832753,0.4305753750077513,0.06598980588038518,0.08641394606381862,0.09182261447515312
Richmond,VA,0.09651322907598515,0.0,0.43714138034322453,0.0,0.3055329910835447,0.16081239949724568
Rosemont,IL,0.047604594718230156,0.10033862799745648,0.44091117654151285,0.015996239378331945,0.3951493613644685,0.0
Sacramento,CA,0.17567703723757233,0.12802428837621443,0.2930456867347476,0.10176001264672348,0.21670856486482182,0.08478441013992025
San Antonio,TX,0.18102246478604106,0.11452449646208882,0.29684689222207566,0.13105731243055133,0.21678199315693425,0.05976684094230902
San Jose,CA,0.09097118589302984,0.0,0.41874572201288324,0.05986674011566563,0.38940536773721485,0.04101098424120639
Santa Ana,CA,0.0,0.05601983040717054,0.22784451510116405,0.374999212848,0.17080690562186332,0.17032953602180217
Silver Spring,MD,0.08265380107767532,0.0,0.326389865810436,0.05312698146943211,0.2765044035908192,0.2613249480516374
Spokane,WA,0.14008110107111332,0.3850215971106917,0.17689142202058108,0.0,0.10186602160732493,0.19613985819028887
Springfield,MO,0.4807904080198978,0.169881714101274,0.2759624573594841,0.0,0.0,0.07336542051934408
St Louis,MO,0.20335738860738542,0.13618210861942645,0.26369625279442144,0.0,0.31474066335474565,0.08202358662402094
St. Paul,MN,0.25562405280375866,0.017635458750229288,0.296410980406663,0.0,0.36978382317157465,0.06054568486777439
Tampa,FL,0.20311756642617246,0.04672206473091484,0.21382130193304041,0.1468501870217569,0.32315792401111926,0.06633095587699604
Tucson,AZ,0.17093956998508805,0.029847335624324345,0.21641955018061332,0.07193477413816844,0.33621025555389544,0.1746485145179104
Tulsa,OK,0.06993826696390891,0.07559304190781155,0.24623393303873725,0.0,0.5453219207379222,0.06291283735162019
